Symbol,X,Y,Z
"C",0,0,0
"C",0,0,1.508
"C",-0.161034,-1.41235,2.01138
"C",-1.24978,-2.10409,1.23024
"C",-0.630836,-3.06656,0.248082
"C",-1.62055,-3.37382,-0.847416
"C",-3.0227,-3.27549,-0.301168
"C",-3.30271,-1.85297,0.113677
"C",-2.06282,-1.07747,0.482527
"C",-1.41463,-0.139595,-0.503381
"H",0.600287,-0.83737,-0.364851
"H",0.42504,0.938549,-0.364851
"H",-0.828169,0.612918,1.87285
"H",0.944887,0.410757,1.87285
"H",-0.429072,-1.39374,3.07084
"H",0.779247,-1.95471,1.88346
"H",-1.89936,-2.65269,1.91708
"H",-0.3608,-3.99135,0.764311
"H",0.265727,-2.61765,-0.187009
"H",-1.44657,-4.38537,-1.22311
"H",-1.49662,-2.65656,-1.66279
"H",-3.12362,-3.93378,0.565504
"H",-3.73654,-3.57688,-1.07204
"H",-3.97329,-1.67578,1.05345
"H",-3.84618,-1.15442,-0.648501
"H",-2.19516,0.00358425,0.904616
"H",-2.07214,0.289972,-1.36773
"H",-0.508703,-0.535482,-1.12508
