X,Y,Z
0,0,0
0,0,1.508
-2.61126e-16,1.4215,2.01138
-9.5635e-16,1.4215,3.51938
-1.44955e-15,2.84301,4.02276
-2.84e-15,2.84301,5.53076
-0.892272,0.515154,-0.364851
-1.89264e-16,-1.03031,-0.364851
0.892272,0.515154,-0.364851
0.892272,-0.515154,1.87285
-0.892272,-0.515154,1.87285
-0.892272,1.93739,1.64757
0.892272,1.93739,1.64757
0.892272,0.90635,3.88423
-0.892272,0.90635,3.88423
-0.892272,3.35889,3.65895
0.892272,3.35889,3.65895
0.892272,2.32785,5.89561
-0.892272,2.32785,5.89561
-3.36567e-15,3.87331,5.89561
